student,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10
2897,0,0,1,1,0,0,1,0,1,1
37479,1,1,1,1,1,0,0,0,0,1
2920,1,1,1,1,0,0,0,1,1,1
37915,1,1,1,1,0,1,1,1,1,1
37590,1,1,1,1,0,1,1,1,0,1
3024,1,1,1,1,0,1,0,0,1,1
2914,0,0,1,1,0,1,0,1,0,1
8149,0,0,0,0,0,0,0,1,0,0
2861,1,1,1,1,0,1,0,1,1,1
28620,0,1,1,1,0,0,0,0,0,1
28803,0,0,1,0,0,1,0,0,0,1
5173,1,0,1,0,0,1,0,1,1,0
28772,0,0,1,0,0,0,0,0,0,0
3073,0,1,1,1,0,1,0,1,0,1
28739,0,0,0,1,0,0,0,0,0,0
37480,1,1,1,1,0,1,1,1,1,1
37250,1,1,0,1,0,0,0,0,1,0
38018,1,1,1,1,0,1,1,1,1,1
37371,1,1,1,1,1,0,0,1,1,1
37591,1,0,1,1,0,1,0,0,0,1
37684,1,1,1,1,0,1,1,1,1,1
56126,1,1,1,1,1,1,0,1,1,1
2985,0,0,1,0,0,0,0,1,0,0
37913,1,1,1,1,1,0,0,0,0,1
3010,1,1,1,1,0,1,0,0,1,1
2971,1,1,1,1,0,1,0,0,1,1
37483,1,1,1,1,0,1,0,1,1,1
2940,0,0,1,1,0,0,1,0,0,1
37592,1,1,1,1,0,1,0,1,1,1
2867,0,1,1,1,1,1,1,1,1,1
37685,1,1,1,1,0,1,1,1,1,1
2981,0,1,1,1,0,0,1,1,1,1
37482,0,1,1,1,0,1,1,0,1,1
55796,1,1,1,1,0,1,0,1,1,1
5986,1,1,1,1,1,1,0,1,1,1
44608,1,1,1,1,1,1,0,1,1,1
6111,1,1,1,1,1,1,0,1,1,1
6109,1,1,1,1,1,1,0,1,1,1
6089,1,1,1,1,1,1,0,1,1,1
37363,0,1,1,1,0,1,1,1,1,1
2689,1,1,1,1,1,1,0,0,1,1
2732,1,1,1,1,0,1,1,1,0,1
2688,1,1,1,1,0,1,0,0,1,1
2875,1,0,0,0,0,0,0,0,0,0
2889,1,1,1,1,0,1,0,0,1,1
8901,0,1,1,1,1,1,0,0,1,0
2999,0,1,0,1,1,0,0,0,1,0
8784,1,1,1,1,0,0,0,0,1,1
55831,1,0,1,1,0,0,0,0,0,1
8896,1,0,1,0,1,0,0,0,0,1
2944,1,0,0,0,0,0,0,0,0,1
8889,1,1,0,1,0,0,0,0,0,1
3043,1,0,1,1,0,1,0,0,1,0
8812,1,1,1,0,0,1,0,0,1,1
55801,0,0,1,1,0,0,1,0,1,0
8878,1,1,1,1,0,0,0,0,1,0
2862,0,1,0,0,1,1,0,0,1,1
8836,0,1,1,1,0,0,0,0,1,1
8828,1,0,1,0,0,1,0,0,1,0
4575,0,0,1,1,0,0,1,1,1,1
4769,0,1,1,0,0,1,1,1,1,1
8793,1,1,1,1,1,1,0,0,1,1
38447,1,0,0,1,0,1,0,1,1,1
8899,0,1,1,1,0,0,0,0,1,1
38317,0,1,1,0,0,0,1,1,1,1
55896,0,0,0,0,1,0,1,1,0,0
4791,0,1,1,0,0,0,0,0,1,0
4810,1,1,1,1,0,1,0,0,1,1
4719,1,1,0,0,0,0,0,0,0,0
31715,0,1,1,0,0,1,1,0,1,1
6985,0,0,0,1,0,0,1,0,0,0
2757,1,1,1,1,1,1,0,0,1,1
2712,1,0,1,1,0,1,0,0,0,1
2781,1,0,1,1,0,0,0,0,1,1
2792,0,0,1,0,0,0,0,0,1,0
28647,1,1,1,0,0,1,0,0,1,1
5024,1,0,1,1,0,1,0,1,0,0
28678,0,0,1,0,0,1,1,0,1,1
2648,1,1,1,1,1,1,0,0,1,1
28775,0,0,1,0,0,0,0,0,1,1
3032,1,0,1,1,0,1,0,0,1,1
2911,0,1,1,0,0,0,0,0,0,1
2972,0,0,1,0,0,0,0,0,0,1
3011,0,1,0,1,0,0,1,0,1,0
2938,0,0,1,1,1,0,0,0,0,0
2716,0,1,1,0,0,1,0,0,1,1
2970,1,0,0,1,0,0,0,0,1,1
2657,0,0,1,0,0,0,1,0,0,0
38567,1,1,1,0,0,1,1,1,1,1
2881,1,0,0,1,1,1,0,1,0,0
37650,1,1,1,1,0,1,1,0,0,1
28682,1,1,1,1,0,0,1,0,1,0
2982,1,1,1,0,0,1,1,1,1,1
28648,0,0,1,1,0,1,1,0,1,1
39536,0,0,1,0,0,0,0,0,1,1
54941,1,1,1,1,0,1,0,0,1,1
55785,1,1,1,1,0,1,0,1,1,1
28730,1,0,1,0,0,0,0,0,1,0
28795,1,0,1,0,0,0,1,1,0,0
54928,1,1,1,0,0,1,0,0,1,0
8875,1,0,1,1,0,0,0,0,1,0
4558,0,1,1,0,0,1,0,1,0,1
5129,1,0,1,1,0,0,0,0,1,1
4612,1,1,1,1,1,1,0,0,1,1
2700,0,1,1,1,0,1,0,0,1,0
4908,0,1,0,0,0,1,0,0,0,1
4591,0,0,1,0,0,0,0,1,0,1
2854,1,1,1,1,1,1,0,0,1,0
8754,0,0,1,1,0,1,1,0,1,0
4635,0,1,0,0,0,1,1,1,1,1
2593,0,1,1,0,1,1,1,0,0,1
2817,0,1,1,1,0,0,0,0,1,0
2838,1,1,1,1,1,1,0,0,1,1
58039,1,1,1,0,0,1,1,0,1,1
2815,1,1,1,0,1,1,1,0,1,1
2819,1,1,1,0,1,1,1,1,1,1
28624,0,0,0,0,0,0,0,0,0,0
55037,1,1,1,1,1,1,0,1,1,1
9009,1,1,1,1,1,1,1,1,1,1
56297,1,1,1,1,0,1,1,1,1,1
9005,1,1,1,1,0,1,0,1,0,1
9209,1,1,1,1,0,1,0,1,1,1
9208,1,1,1,1,1,1,1,1,1,1
4597,0,1,1,1,0,0,0,0,0,1
9078,1,1,1,1,1,1,1,1,1,1
8926,1,1,1,1,1,1,0,1,1,1
4642,0,1,1,1,0,1,1,1,1,1
9292,1,0,1,1,0,1,0,1,1,1
9007,1,0,1,1,0,1,0,1,0,1
8925,1,0,1,1,0,0,0,0,0,0
54979,0,0,1,1,0,1,0,1,0,1
8928,1,0,1,1,0,1,0,1,1,1
9291,0,1,1,1,1,1,1,1,1,1
53507,1,1,0,0,0,0,1,0,0,0
4965,1,1,1,1,1,1,1,0,1,1
9004,1,0,1,1,0,1,0,1,0,1
9077,1,1,1,1,0,1,1,0,1,1
9008,1,1,1,1,1,1,1,1,1,1
9290,1,1,1,1,1,1,0,1,1,1
9458,1,0,1,1,0,1,0,1,1,1
9371,1,1,1,1,1,1,1,1,1,1
55002,1,1,1,1,1,1,1,1,1,1
9293,1,1,1,1,0,1,0,1,1,1
19294,1,0,1,1,0,1,1,1,1,1
2939,0,0,1,0,0,1,1,0,0,1
3069,1,1,1,1,0,1,1,1,1,1
3020,1,0,1,1,0,0,0,1,1,1
55841,0,1,1,1,0,1,0,1,1,1
2955,1,0,1,0,0,1,0,1,0,1
9457,1,0,1,1,1,1,1,1,1,1
54414,1,0,1,1,0,1,0,0,1,1
8927,1,1,1,1,1,1,1,1,1,1
9006,1,1,1,1,0,1,0,1,1,1
3008,0,1,1,1,0,1,0,1,1,1
3068,1,1,1,1,0,1,0,1,1,1
41781,1,1,1,1,0,1,0,1,1,1
3041,1,1,1,1,1,1,0,1,1,1
3071,0,0,1,0,0,0,1,0,0,1
2908,0,1,1,0,0,1,0,0,1,0
3033,0,1,1,1,0,0,0,0,0,0
42076,1,0,1,1,0,1,1,1,1,1
2874,0,1,1,1,0,1,1,0,1,1
41889,1,1,1,1,1,1,1,1,1,1
42009,1,1,1,1,0,1,1,1,1,1
41721,1,1,1,0,0,1,1,1,1,1
41780,1,0,1,0,0,1,0,1,1,1
7011,1,0,1,0,0,1,0,0,0,1
39062,1,0,1,1,0,0,0,1,0,1
56387,1,0,1,1,0,1,1,0,1,1
8764,1,0,1,1,0,1,0,1,0,1
8918,1,0,1,1,0,0,1,1,1,1
8781,1,1,1,1,0,1,0,1,1,1
8887,1,0,1,1,0,1,0,1,1,1
8783,1,0,1,0,0,0,0,0,1,1
8834,1,0,0,0,0,0,0,1,0,1
56368,1,1,1,1,0,1,0,1,1,1
8915,1,1,1,1,0,1,1,1,1,1
6885,1,0,1,0,0,1,1,1,0,1
8888,1,1,1,1,0,0,0,1,1,1
56356,1,1,1,1,1,1,0,1,1,1
8829,1,0,1,1,0,1,0,0,1,1
56322,1,0,0,1,0,0,0,0,0,1
8849,1,0,1,1,0,1,0,1,1,1
5323,1,1,1,0,1,1,0,0,1,1
8914,1,1,1,1,0,1,0,1,1,1
8792,0,0,1,0,0,1,0,0,1,1
8768,1,1,1,1,0,1,0,1,1,1
8873,0,1,1,1,0,1,0,1,1,1
8872,1,1,1,1,0,1,1,1,1,1
6912,1,1,1,0,0,0,0,1,0,1
8780,1,1,1,1,0,0,0,1,1,0
8847,0,1,0,1,0,0,1,1,1,0
8765,1,0,0,0,0,0,1,0,0,0
28483,1,1,1,0,0,1,0,1,1,0
28456,1,1,1,1,0,1,0,1,1,1
38271,0,1,1,1,1,1,0,1,1,1
38232,0,1,1,1,0,1,1,1,1,1
1618,1,0,1,1,0,1,0,1,1,1
5307,1,1,1,1,0,1,1,0,1,1
55729,1,1,1,1,0,1,0,1,1,1
55714,1,1,1,1,0,1,1,1,1,1
5060,1,1,1,1,0,0,0,0,1,0
5063,1,1,1,0,0,1,1,0,1,0
5161,1,1,1,1,0,1,1,1,1,1
38265,1,1,1,1,0,1,1,1,1,1
5212,1,1,1,1,1,1,1,1,1,1
5121,1,1,1,1,1,1,1,1,1,1
53320,1,1,1,1,0,1,1,1,1,1
5123,1,0,1,0,0,1,0,0,0,1
5025,1,1,1,0,0,1,0,1,1,1
4976,1,1,1,1,0,1,1,0,1,1
43511,1,1,1,0,0,1,0,1,0,0
2849,1,1,1,1,1,1,0,1,1,1
2660,0,1,1,1,1,1,1,1,1,0
1662,0,1,1,1,0,1,1,1,1,1
6064,1,1,1,1,1,1,1,1,1,1
5964,1,0,1,1,1,0,1,0,1,1
43492,1,0,0,0,0,0,0,1,0,1
6136,0,0,1,1,0,0,0,1,1,1
6093,0,0,1,0,1,0,1,1,1,1
1554,1,1,1,1,0,0,0,1,1,1
38194,1,1,1,1,0,1,1,1,1,1
6068,1,1,0,0,0,1,0,0,0,0
38407,1,0,1,0,0,0,0,1,0,0
6004,0,0,0,0,0,0,1,0,1,0
28608,1,1,1,1,0,1,1,1,1,1
5987,1,1,1,1,0,1,0,1,1,1
38309,1,1,1,1,1,1,0,1,1,1
28592,0,1,1,1,1,0,0,1,0,0
28504,0,0,0,0,0,0,0,1,0,1
6057,0,0,1,0,0,0,1,0,0,1
55326,1,1,1,1,1,1,0,1,1,1
55362,1,1,1,1,1,1,0,1,1,1
56984,1,1,1,1,0,1,0,1,1,1
6048,1,1,1,1,1,1,0,1,1,1
6049,1,1,1,1,1,1,0,1,1,1
